"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:230","old_6f31a566","Hmmmm. Renden van. Majd meglátjuk.","","False","","","old ""Hmmmm. Very well then. We shall see."" id old_6f31a566"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:235","spiritold_a919e641","Xandria, többet nem lesz rád szükség.","","False","","","spiritold ""Xandria, we won't be needing you anymore."" id spiritold_a919e641"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:237","xandria_f803a963","U-uram! Nem hagyhatom egyedül ezzel az... őrülttel!","","False","","","xandria ""S-sir! I can't leave you alone with this... This madman!"" id xandria_f803a963"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:238","spiritold_681fe271","Túléltem rosszabbat.","","False","","","spiritold ""I've lived through worse."" id spiritold_681fe271"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:240","spiritold_b4596373","És te már {b}bemutattad{/b} hogy képtelen vagy megvédeni.","","False","","","spiritold ""And you {b}have{/b} already proven perfectly unable to protect me."" id spiritold_b4596373"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:242","xandria_f44aafb9","...ahogy akarja, uram.","","False","","","xandria ""...as you say, sir."" id xandria_f44aafb9"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:244","spiritold_0cec9838","Most, Lord Rattlesnake, ha akar...","","False","","","spiritold ""Now, Lord Rattlesnake, if you will..."" id spiritold_0cec9838"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:259","old_9ae6c009","Merengő?","","False","","","old ""Pensieve?"" id old_9ae6c009"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:261","spiritold_542866ce","Valóban. Ez sekélynek tűnhet, de biztosítalak hogy az egész fejedet beleteheted. Akkor az emlékek elkezdenek özömleni.","","False","","","spiritold ""Indeed. This one may seem shallower than normal, but trust me, you'll be able to immerse your entire head. Then the memories will come flooding back."" id spiritold_542866ce"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:263","spiritold_71d56599","Tisztessésges figyelmeztetés - ha most is elégedetlen vagy, nem fog jobban tetszeni ami most jön.","","False","","","spiritold ""Fair warning - if you're already displeased, you won't like what comes next any better."" id spiritold_71d56599"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:265","spiritold_369f1521","Lesznek szövetségeseid, de én mindig nézni foglak. Látnunk kell az utat amit jártál, a végével együtt.","","False","","","spiritold ""You'll have allies, but I'll always be watching. We need to see the path you've trodden, and its end."" id spiritold_369f1521"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:267","spiritold_e0c3250a","Szóval aludj, Lord Rattlesnake. Aludj, csak hogy újra felébredj...","","False","","","spiritold ""So sleep, Lord Rattlesnake. Sleep, only to wake again..."" id spiritold_e0c3250a"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:274","xandria_b0584bd7","Mocsok, lépj vissza!","","False","","","xandria ""Scum, step back!"" id xandria_b0584bd7"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:279","spiritold_c045849d","Nézz bele...","","False","","","spiritold ""Take a look inside..."" id spiritold_c045849d"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:291","markus_32191a02","(Nem, professzor Dumbledore, én vagyok az, Marcus Redblack. Kérem ne használja a régi nevemet. Hagyjuk a múltat a múltban.)","","False","","","markus ""(No, professor Dumbledore, it is I, Marcus Redblack. Please, don't use my old name. Leave the past in the past.)"" id markus_32191a02"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:292","markus_6737f7cf","(Én már egy igazi professzor vagyok.)","","False","","","markus ""(I am a proper professional now.)"" id markus_6737f7cf"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:294","markus_6eac3f70","(Most elnézést kérek, de a lányok a figyelmemet követelik. Jól kell bánnom velük... Nem untatom a részletekkel, professzor. További jó napot.)","","False","","","markus ""(Now please, excuse me, girls require my assistance. I have to take good care of them... I won't bore you with details, professor. Good day.)"" id markus_6eac3f70"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:299","markus_989a955d","","","False","","","markus ""(No, baby, my blood is completely pure. I am the first of my line.)"" id markus_989a955d"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:301","markus_cc667868","(Persze hogy igaz, cica. Ne aggódj, feküdj le, vedd le azt a bugyit és nyisd ki a lábaidat.)","","False","","","markus ""(Of course it's true, baby. Don't worry, just lie down, take those panties off and spread your legs.)"" id markus_cc667868"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:303","markus_6552aaf4","(Biztosra kell mennem hogy minden renden van odalent...)","","False","","","markus ""(I need to make sure everything is in order down there...)"" id markus_6552aaf4"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:305","markus_4ace4fce","(És tudod hogy csak egy mód van arra hogy biztosra menjünk...)","","False","","","markus ""(And you know there is only one way to be sure...)"" id markus_4ace4fce"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:306","markus_29686f86","(Ó, te is élvezni fogod...)","","False","","","markus ""(Oh, you will enjoy it too...)"" id markus_29686f86"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:311","markus_97f2defd","(Áh, nagyon jó, teljesen egészséges vagy. Látod, nem hazudtam? Most valami amit sokkal jobban fogsz élvezni...)","","False","","","markus ""(Ah, great, you are perfectly healthy. I didn't lie, see? But now for something that you will enjoy even more...)"" id markus_97f2defd"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:317","markus_dd191da1","(Koncentrálj, Marcus. Miért vesztegetsz időt álmodozásra, amikor csak egy lépésre van a valóság?)","","False","","","markus ""(Concentrate, Marcus. Why waste time on dreaming when I'm only a step away from it all in reality?)"" id markus_dd191da1"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:319","markus_b336b5a2","(Holnap. Találkozok Dumbledore-al, és az álmok valóra válnak. Most, el kell mennem és találnom kell egy szobát Roxmortban)","","False","","","markus ""(Tomorrow, I'll meet Dumbledore, and my dreams will become reality, but for now I need to go to Hogsmeade and find a room to stay in overnight.)"" id markus_b336b5a2"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:324","markus_58f52638","Hmm, kié ez a bugyi? Ráengedném a seprűmre... Magammal viszem, hátha...","","False","","","markus ""Hmm, whose panties are these? I'd let her on my broom... I should take these with me, just in case..."" id markus_58f52638"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:337","dum_d97417a8","Végre itt van? Nagy Merlin, meddig vártam erre?","","False","","","dum ""Is it finally here? Great Merlin, how long have I waited?"" id dum_d97417a8"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:339","dum_c1dde029","Kedves professzor Dumbledore!","","False","","","dum ""Dear Professor Dumbledore!"" id dum_c1dde029"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:341","dum_597563be","Boldogan tájékoztatjuk hogy...","","False","","","dum ""We are happy to inform you that..."" id dum_597563be"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:343","dum_6d8e5f81","Igen, igen...","","False","","","dum ""Yes, yes..."" id dum_6d8e5f81"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:345","dum_bef8916d","Áhá, itt! Figyelembe véve minden teljesítményét...","","False","","","dum ""Aha, here! Considering all your achievements..."" id dum_bef8916d"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:352","dum_63326e7f","Kitűnő hír. Most... muszály készülnöm. Fawkes, gondoskodni fogsz az iskoláról, amíg nem vagyok itt ugye?","","False","","","dum ""Excellent news. Now... I must make my preparations. Fawkes, take care of the school for me, would you?"" id dum_63326e7f"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:362","snape_6c7d03d5","Uram, éppen elfoglalt?","","False","","","snape ""Sir, are you busy?"" id snape_6c7d03d5"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:364","dum_4af56f0e","Egyáltalán nem. Pont időben van, Perselus. Hírem van számára.","","False","","","dum ""Not at all. You are perfectly on time, Severus. I have news for you."" id dum_4af56f0e"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:366","dum_79599319","A levél amire oly rég óta vártam végre megérkezett.","","False","","","dum ""The letter I've been waiting so long for has just arrived."" id dum_79599319"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:368","snape_420ce042","A minisztériumból?","","False","","","snape ""From the Ministry?"" id snape_420ce042"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:370","dum_524e6a51","Igen, itt nézze.","","False","","","dum ""Yes, here take a look."" id dum_524e6a51"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:372","snape_416fc5da","Nem, teljesen rendben van. Ez azt jelenti hogy szabadságra megy?","","False","","","snape ""No, that's quite alright. Does this mean you'll be leaving for your sabbatical?"" id snape_416fc5da"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:374","dum_7abcecfe","Valóban, legalább egy évig ez a szék valaki másé lesz. Te jól ismered.","","False","","","dum ""Indeed! For at least a year this chair will be occupied by another. You know him well."" id dum_7abcecfe"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:376","snape_8df1bdbf","Szóval meghozta a döntését. Riddle lesz az?","","False","","","snape ""So you have made your decision. It will be Riddle?"" id snape_8df1bdbf"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:378","dum_27007600","Igen, nagyon ügyes, Perselus. Már küldtem is neki egy baglyot. Kétségtelen nemsokára hallunk felőle.","","False","","","dum ""Yes, quite astute, Severus. I have already sent an owl for him. No doubt we will hear from him soon."" id dum_27007600"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:380","snape_bc8f04e1","Ki lesz az új igazgató időközben? Vagy itt akar várni a válaszára?","","False","","","snape ""Who will be Headmaster in the meantime? Or do you intend to wait for his reply here?"" id snape_bc8f04e1"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:382","dum_88165e33","Nem,nem. A lehető leghamarabb távozni szándékozom. Aminisztérium valószinűleg kinevez valakit ideiglenesen.","","False","","","dum ""No, no. I intend to leave as soon as possible. The Ministry will likely make a temporary appointment."" id dum_88165e33"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:385","snape_9fefa2b0","Micsoda?! Professzor! Nem hagyhatjuk hogy azok a minisztériumi bohócok elrontsák...","","False","","","snape ""What?! Sir! We cannot allow those Ministry buffoons to ruin..."" id snape_9fefa2b0"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:387","dum_84060bce","Nyugodj le, Perselus. Éppenséggel egyetértek.","","False","","","dum ""Calm yourself, Severus. I happen to agree."" id dum_84060bce"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:389","dum_f4f05ce7","Éppen ezért rád bízom hogy azok a minisztériumi... bohócok... ne okozzanak túl sok bajt.","","False","","","dum ""Which is why it will fall to you to ensure that said Ministry... buffoons... do not cause too much trouble."" id dum_f4f05ce7"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:391","snape_10dec7a1","Megbízhat bennem hogy kezelni fogom, professzor.","","False","","","snape ""You can trust me to handle it, sir."" id snape_10dec7a1"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:393","dum_41e8ddff","Tudom, Perselus. Bármi egyéb?","","False","","","dum ""I know, Severus, and I do. Is there anything else?"" id dum_41e8ddff"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:395","snape_196a5be4","Igen. Az oka hogy az irodájába jöttem... egy levelet kaptam önnek címezve. Biztos véletlenségből.","","False","","","snape ""Yes. The reason I came to your office... I have received a letter addressed to you. By mistake, no doubt."" id snape_196a5be4"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:397","dum_3f76a8e4","Valóban.","","False","","","dum ""Indeed."" id dum_3f76a8e4"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:399","snape_c11060b2","Egy bizonyos Marcus Redblack. Egy másik névvel emlékezhet rá, Riddle. Az ifjabbik. Salazar Riddle.","","False","","","snape ""From a certain Marcus Redblack. You may remember him by a different name: Riddle. Not the father, but the son. Salazar Riddle."" id snape_c11060b2"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:401","dum_44ee910a","","","False","","","dum ""Oh, yes, I was waiting for his reply. He is to become our new Head Medicus. Madam Pomfrey gave him an excellent reference before her retirement."" id dum_44ee910a"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:403","snape_bfe5de6b","","","False","","","snape ""I imagine she was the only one..."" id snape_bfe5de6b"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:405","dum_5c6cd050","","","False","","","dum ""Come now, Severus. Despite your feelings toward the boy, there is no reason to suppose he will be anything but a competent nurse."" id dum_5c6cd050"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:407","snape_0c695100","","","False","","","snape ""I find that extremely unlikely. In any case, you seem to have forgotten that as soon as the boy was placed in Ravenclaw his father disowned him."" id snape_0c695100"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:409","dum_f054b412","","","False","","","dum ""I remember it well, Severus. Despite what the papers may say, I am not yet senile."" id dum_f054b412"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:411","snape_1084ea84","","","False","","","snape ""Yet you mean to reunite father and son under the same roof. Do you truly think it wise?"" id snape_1084ea84"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:413","dum_eddb7e72","","","False","","","dum ""I have my reasons."" id dum_eddb7e72"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:415","snape_501f3bc1","","","False","","","snape ""Yes. Of that I have no doubt."" id snape_501f3bc1"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:417","dum_18ad7f0c","","","False","","","dum ""Will that be all, Severus?"" id dum_18ad7f0c"
