Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
A_51330aa7	A	Dearie, have you forgotten where you are? There is no pure water here. And don't even ask about shampoos or gels or anything like that. You won't need that. This organic substance will help you that.	game/tl/english/event/bath_day.rpy	113	A "[what]" id A_51330aa7
S_95b19d9f	S	(Grr...)	game/tl/english/event/bath_day.rpy	119	S "[what]" id S_95b19d9f
A_d5e773e5	A	The choice is yours, but you do realize you smell like a hydralisk? Ahahaha.	game/tl/english/event/bath_day.rpy	125	A "[what]" id A_d5e773e5
S_8bb219d2	S	(Do I really smell that bad?)	game/tl/english/event/bath_day.rpy	131	S "[what]" id S_8bb219d2
S_82ed658b	S	...	game/tl/english/event/bath_day.rpy	137	S "[what]" id S_82ed658b
narrator_ef4c80eb		Sarah tried to absolutely discreetly smell her armpit...	game/tl/english/event/bath_day.rpy	143	"[what]" id narrator_ef4c80eb
S_fa6b3eda	S	(Oh god, what a smell... I don't even remember the last time I've washed... A bath definitely wouldn't hurt...)	game/tl/english/event/bath_day.rpy	149	S "[what]" id S_fa6b3eda
S_82ed658b_1	S	...	game/tl/english/event/bath_day.rpy	155	S "[what]" id S_82ed658b_1
S_95ad68f8	S	Alright, but you'll have to leave. I don't want you to see me.	game/tl/english/event/bath_day.rpy	161	S "[what]" id S_95ad68f8
A_e9f9b19c	A	Are you still shy of me? I wanted to scrub your back...	game/tl/english/event/bath_day.rpy	167	A "[what]" id A_e9f9b19c
S_ea7d6524	S	!!!	game/tl/english/event/bath_day.rpy	173	S "[what]" id S_ea7d6524
S_25145346	S	Are you crazy?	game/tl/english/event/bath_day.rpy	179	S "[what]" id S_25145346
S_4dea2d6e	S	Never!	game/tl/english/event/bath_day.rpy	185	S "[what]" id S_4dea2d6e
A_707c9b31	A	Well, whatever you say. When you finish, push this button and I will be here. *winks*	game/tl/english/event/bath_day.rpy	191	A "[what]" id A_707c9b31
narrator_8a6fcf0f		Stukov left.	game/tl/english/event/bath_day.rpy	197	"[what]" id narrator_8a6fcf0f
narrator_5e9af356		Sarah slowly removed her clothes and just as slowly put her leg in the 'bath'.	game/tl/english/event/bath_day.rpy	203	"[what]" id narrator_5e9af356
S_2125e5fc	S	Yuck! No, no I can't!	game/tl/english/event/bath_day.rpy	209	S "[what]" id S_2125e5fc
S_b1287562	S	(Oh god, disgusting!)	game/tl/english/event/bath_day.rpy	215	S "[what]" id S_b1287562
narrator_9285554f		Sarah quickly removed her leg from the pool.	game/tl/english/event/bath_day.rpy	221	"[what]" id narrator_9285554f
C_b029309c	C	(And I thought you didn't give up halfway...)	game/tl/english/event/bath_day.rpy	227	C "[what]" id C_b029309c
S_9c685f69	S	And you're here too...	game/tl/english/event/bath_day.rpy	233	S "[what]" id S_9c685f69
C_0c3624b0	C	(I don't understand your hesitation. This is just a bath. But, the decision is yours anyway, you can just call Stukov right now... Terrans do know about hygiene, right?)	game/tl/english/event/bath_day.rpy	239	C "[what]" id C_0c3624b0
S_82ed658b_2	S	...	game/tl/english/event/bath_day.rpy	245	S "[what]" id S_82ed658b_2
S_7db5c808	S	Of course we do!!!	game/tl/english/event/bath_day.rpy	251	S "[what]" id S_7db5c808
S_66f72caa	S	Sai'mon, this isn't dangerous, is it? I think there's something in there...	game/tl/english/event/bath_day.rpy	257	S "[what]" id S_66f72caa
C_2968690f	C	(Believe me, if Mistress wanted to hurt you, she would've done so already. This substance is completely harmless.)	game/tl/english/event/bath_day.rpy	263	C "[what]" id C_2968690f
S_82ed658b_3	S	...	game/tl/english/event/bath_day.rpy	269	S "[what]" id S_82ed658b_3
S_0005a8c9	S	Well, I'll try again then...	game/tl/english/event/bath_day.rpy	275	S "[what]" id S_0005a8c9
narrator_442e5e91		Sarah carefully put her leg into the bath, then the second one.	game/tl/english/event/bath_day.rpy	281	"[what]" id narrator_442e5e91
narrator_075f4d07		The liquid was warm and didn't cause any discomfort. But despite that Sarah just couldn't make herself go into it.	game/tl/english/event/bath_day.rpy	287	"[what]" id narrator_075f4d07
C_fd8e3299	C	(Just lie down, there's nothing to worry about.)	game/tl/english/event/bath_day.rpy	293	C "[what]" id C_fd8e3299
S_85cc35ae	S	That's easy for you to say...	game/tl/english/event/bath_day.rpy	299	S "[what]" id S_85cc35ae
S_1d4076fa	S	(Phew... I'll do it... I'll just get used to it a bit first...)	game/tl/english/event/bath_day.rpy	305	S "[what]" id S_1d4076fa
narrator_4640a453		Some time later, Sarah was completely in the bath and she closed her eyes.	game/tl/english/event/bath_day.rpy	311	"[what]" id narrator_4640a453
S_4ed0ab61	S	(This isn't so bad. The liquid feels like water, just a bit more dense. It's warm and pleasant, but this smell... I just can't ignore it.)	game/tl/english/event/bath_day.rpy	317	S "[what]" id S_4ed0ab61
narrator_b169a6c6		Sarah spent some time lying in the pool...	game/tl/english/event/bath_day.rpy	323	"[what]" id narrator_b169a6c6
S_855ac67d	S	Sooo, what's next? Do I just lie here?	game/tl/english/event/bath_day.rpy	329	S "[what]" id S_855ac67d
C_85083a92	C	(Yes, that is correct. You do not have to do anything, the liquid will clean you.)	game/tl/english/event/bath_day.rpy	335	C "[what]" id C_85083a92
narrator_1a447cb0		The pool vibrated slightly, which caused the liquid to lightly move around, making Sarah feel as if she wasn't alone.	game/tl/english/event/bath_day.rpy	341	"[what]" id narrator_1a447cb0
narrator_ad1be3e4		A short time later.	game/tl/english/event/bath_day.rpy	347	"[what]" id narrator_ad1be3e4
narrator_16d741bb		Sarah quickly stood up.	game/tl/english/event/bath_day.rpy	353	"[what]" id narrator_16d741bb
S_a4ec58fb	S	I think I'm clean enough for now.	game/tl/english/event/bath_day.rpy	359	S "[what]" id S_a4ec58fb
C_4b72c691	C	(You, humans, are strange... When you were in the bath, your dopamine level was constantly rising, you liked it...)	game/tl/english/event/bath_day.rpy	365	C "[what]" id C_4b72c691
S_d867e36b	S	I don't want to waste more time than needed here.	game/tl/english/event/bath_day.rpy	371	S "[what]" id S_d867e36b
S_82ed658b_4	S	...	game/tl/english/event/bath_day.rpy	377	S "[what]" id S_82ed658b_4
S_5c9e2108	S	(Though I will concede that the liquid feels nice and I do feel better now. But I also have a slight vertigo...)	game/tl/english/event/bath_day.rpy	383	S "[what]" id S_5c9e2108
narrator_59e0e64b		Sarah dresses up.	game/tl/english/event/bath_day.rpy	389	"[what]" id narrator_59e0e64b
S_8425c27e	S	(Time to call Stukov.)	game/tl/english/event/bath_day.rpy	395	S "[what]" id S_8425c27e
narrator_834f2263		Sarah pushes the button and soon the door opens and Stukov goes into the room.	game/tl/english/event/bath_day.rpy	401	"[what]" id narrator_834f2263
narrator_83c16452		Stukov spent some time inspecting Sarah.	game/tl/english/event/bath_day.rpy	407	"[what]" id narrator_83c16452
A_c65ce9d4	A	Well, this's much better, isn't it?	game/tl/english/event/bath_day.rpy	413	A "[what]" id A_c65ce9d4
S_b5ee6b93	S	Now I smell like that weird stuff in the bath!	game/tl/english/event/bath_day.rpy	419	S "[what]" id S_b5ee6b93
S_ebb18300	S	(And it smells weird...)	game/tl/english/event/bath_day.rpy	425	S "[what]" id S_ebb18300
A_3a9ebd4c	A	Well, that's expected and inconsequential. But now you're clean and ready for any future trials. *winks*	game/tl/english/event/bath_day.rpy	431	A "[what]" id A_3a9ebd4c
S_30982d55	S	Grrrr...	game/tl/english/event/bath_day.rpy	437	S "[what]" id S_30982d55
A_98523eca	A	Mistress wanted me to tell you that you could come and wash here whenever you wanted.	game/tl/english/event/bath_day.rpy	443	A "[what]" id A_98523eca
A_d87f3a7b	A	If you decide you want to, just tell me.	game/tl/english/event/bath_day.rpy	449	A "[what]" id A_d87f3a7b
S_8a1295ac	S	Want?	game/tl/english/event/bath_day.rpy	455	S "[what]" id S_8a1295ac
S_b41c5c38	S	I only do this because I need to.	game/tl/english/event/bath_day.rpy	461	S "[what]" id S_b41c5c38
A_0cb37f9b	A	Heh, well, whatever you say. Let's go back.	game/tl/english/event/bath_day.rpy	467	A "[what]" id A_0cb37f9b
narrator_24f4c59a		Stukov lead Sarah to her cell.	game/tl/english/event/bath_day.rpy	473	"[what]" id narrator_24f4c59a
narrator_898e51c7		Now 'bathtime' is available to Sarah. To initiate it, she needs to contact Stukov.	game/tl/english/event/bath_day.rpy	479	"[what]" id narrator_898e51c7
narrator_f74e5dd3		Sarah feels cleaner and overall better after washing. Her stress level has decreased. Sarah's hygiene level is now normal.	game/tl/english/event/bath_day.rpy	485	"[what]" id narrator_f74e5dd3
narrator_60d323af		After a couple of turns, Sarah and Stukov enter the room with the pool.	game/tl/english/event/bath_day.rpy	491	"[what]" id narrator_60d323af
A_2b33453f	A	So, want me to scrb your back?	game/tl/english/event/bath_day.rpy	497	A "[what]" id A_2b33453f
S_220487f1	S	(No!)	game/tl/english/event/bath_day.rpy	503	S "[what]" id S_220487f1
S_056980ca	S	!!!	game/tl/english/event/bath_day.rpy	509	S "[what]" id S_056980ca
S_23c1c4b6	S	This again? I've told you that will never happen!	game/tl/english/event/bath_day.rpy	515	S "[what]" id S_23c1c4b6
S_0c570f3c	S	S-stop asking that!	game/tl/english/event/bath_day.rpy	521	S "[what]" id S_0c570f3c
A_bcb3d3c5	A	Ahahah. Hope dies last. Well, next time is it, enjoy yourself.	game/tl/english/event/bath_day.rpy	527	A "[what]" id A_bcb3d3c5
narrator_c377c00a		Stukov left the room.	game/tl/english/event/bath_day.rpy	533	"[what]" id narrator_c377c00a
S_03454d5c	S	...	game/tl/english/event/bath_day.rpy	539	S "[what]" id S_03454d5c
S_4fcf52b2	S	Can he even hear me?	game/tl/english/event/bath_day.rpy	545	S "[what]" id S_4fcf52b2
S_03454d5c_1	S	...	game/tl/english/event/bath_day.rpy	551	S "[what]" id S_03454d5c_1
S_b2ec3d76	S	(Pervert.)	game/tl/english/event/bath_day.rpy	557	S "[what]" id S_b2ec3d76
narrator_b7e99035		Sarah started undressing.	game/tl/english/event/bath_day.rpy	563	"[what]" id narrator_b7e99035
S_2ff9d762	S	(Is this pool really alive... And what is this liquid?)	game/tl/english/event/bath_day.rpy	569	S "[what]" id S_2ff9d762
narrator_69457de4		Sarah carefully steps into the pool.	game/tl/english/event/bath_day.rpy	575	"[what]" id narrator_69457de4
C_5a527188	C	(Are you planning to just stand like this?)	game/tl/english/event/bath_day.rpy	581	C "[what]" id C_5a527188
S_5a13edac	S	Calm your horses... I need to get used first...	game/tl/english/event/bath_day.rpy	587	S "[what]" id S_5a13edac
narrator_1310d56f		Finally, Sarah completely lied down.	game/tl/english/event/bath_day.rpy	593	"[what]" id narrator_1310d56f
narrator_17b9eaca		The pool vibrated slightly, which caused the liquid to lightly move around, making Sarah feel as if she wasn't alone.	game/tl/english/event/bath_day.rpy	599	"[what]" id narrator_17b9eaca
S_ce945393	S	Sai'mon, are you sure there's nobody here?	game/tl/english/event/bath_day.rpy	605	S "[what]" id S_ce945393
C_2a5882a9	C	(I understand you've not seen anything like this before, but believe me, only me and you are here right now.)	game/tl/english/event/bath_day.rpy	611	C "[what]" id C_2a5882a9
S_77d3c280	S	Alright. What is this liquid?	game/tl/english/event/bath_day.rpy	617	S "[what]" id S_77d3c280
C_b0e960f7	C	(It was created to encourage regeneration and mutation in organic cells, and it has many different uses.)	game/tl/english/event/bath_day.rpy	623	C "[what]" id C_b0e960f7
C_0abd3c6c	C	(The Swarm may use it to accelerate tissue regrowth or to remove dead cells from an organism, which is what is happening to you right now.)	game/tl/english/event/bath_day.rpy	629	C "[what]" id C_0abd3c6c
C_acbb41db	C	(It's formula is very complicated, I do not think there will be any point in telling you that.)	game/tl/english/event/bath_day.rpy	635	C "[what]" id C_acbb41db
S_a08cb325	S	Is it safe?	game/tl/english/event/bath_day.rpy	641	S "[what]" id S_a08cb325
C_1a0be538	C	(Yes, currently it is completely safe for you.)	game/tl/english/event/bath_day.rpy	647	C "[what]" id C_1a0be538
S_056980ca_1	S	!!!	game/tl/english/event/bath_day.rpy	653	S "[what]" id S_056980ca_1
S_251c4cce	S	For me? What do you mean?	game/tl/english/event/bath_day.rpy	659	S "[what]" id S_251c4cce
C_42aee38e	C	(As I've told you before, it is very complicated. I'm not sure you'll understand.)	game/tl/english/event/bath_day.rpy	665	C "[what]" id C_42aee38e
S_6abeafba	S	I'd like to know anyway!	game/tl/english/event/bath_day.rpy	671	S "[what]" id S_6abeafba
C_2256bd51	C	(Well, don't tell me I haven't warned you.)	game/tl/english/event/bath_day.rpy	677	C "[what]" id C_2256bd51
C_2e2a6257	C	(You are currently inside a 'spawning pool'. It allows the Swarm to accelerate cell mutation process of organisms inside it. Also it accelerates the process of cell regeneration, so it can heal wounds.)	game/tl/english/event/bath_day.rpy	683	C "[what]" id C_2e2a6257
C_c7550e34	C	(But the process takes a lot of time and when inside, the organism is very vulnerable. The spawning pool is the base of all other zerg structures and contains the DNA of all of them. That is why the Swarm is very protective of these.)	game/tl/english/event/bath_day.rpy	689	C "[what]" id C_c7550e34
C_da914483	C	(Do you remember that feeling you got when you first stepped into it? You felt a sort of ease and surge of power.)	game/tl/english/event/bath_day.rpy	695	C "[what]" id C_da914483
S_52275eeb	S	Yes, I do. Also I felt a bit dizzy.	game/tl/english/event/bath_day.rpy	701	S "[what]" id S_52275eeb
C_617ad95a	C	(The Swarm has cured all your illnesses and wounds, including those unknown to you. Feeling as if your head is spinning is also a normal human reaction to the spawning pool.)	game/tl/english/event/bath_day.rpy	707	C "[what]" id C_617ad95a
C_636340ac	C	(The spawning pool can cure the worst of wounds in hours.)	game/tl/english/event/bath_day.rpy	713	C "[what]" id C_636340ac
S_3ccc91af	S	(If only we could capture this technology.)	game/tl/english/event/bath_day.rpy	719	S "[what]" id S_3ccc91af
C_98c88eb1	C	(This isn't exactly a technology, but I agree, that would change a lot. But the process of creating such a liquid is very complicated, you're far from such knowledge...)	game/tl/english/event/bath_day.rpy	725	C "[what]" id C_98c88eb1
C_43d297c6	C	(I can tell you even more about this liquid if you want me to.)	game/tl/english/event/bath_day.rpy	731	C "[what]" id C_43d297c6
S_5a2203f0	S	Go on.	game/tl/english/event/bath_day.rpy	737	S "[what]" id S_5a2203f0
C_52851b13	C	(This liquid was created from the one the first zerg have appeared in.)	game/tl/english/event/bath_day.rpy	743	C "[what]" id C_52851b13
S_9f6dfc90	S	Yuck, you could've not told that... Now I feel uncomfortable...	game/tl/english/event/bath_day.rpy	749	S "[what]" id S_9f6dfc90
C_17ecfb11	C	(Also, this liquid can be digested. In fact, it's recommended to drink it.)	game/tl/english/event/bath_day.rpy	755	C "[what]" id C_17ecfb11
S_056980ca_2	S	!!!	game/tl/english/event/bath_day.rpy	761	S "[what]" id S_056980ca_2
S_76f0cf5b	S	Drink this???	game/tl/english/event/bath_day.rpy	767	S "[what]" id S_76f0cf5b
C_07708bc3	C	(You might feel unusual at first, but that feeling would soon pass.)	game/tl/english/event/bath_day.rpy	773	C "[what]" id C_07708bc3
S_26666037	S	I won't drink this!	game/tl/english/event/bath_day.rpy	779	S "[what]" id S_26666037
C_bba7e2b5	C	(You don't need to now, all your internal organs are healthy. But if you feel unwell, you know what to do.)	game/tl/english/event/bath_day.rpy	785	C "[what]" id C_bba7e2b5
S_03454d5c_2	S	...	game/tl/english/event/bath_day.rpy	791	S "[what]" id S_03454d5c_2
C_e38d6efb	C	(Also, I would like to warn you, the spawning pool is only safe for organic materials, so you should only enter it naked.)	game/tl/english/event/bath_day.rpy	797	C "[what]" id C_e38d6efb
S_03454d5c_3	S	...	game/tl/english/event/bath_day.rpy	803	S "[what]" id S_03454d5c_3
S_bbab7fee	S	So convenient... Does the Swarm has anything not perverted?	game/tl/english/event/bath_day.rpy	809	S "[what]" id S_bbab7fee
C_5fda4996	C	(Nothing created by the Swarm is supposed to serve humans, so it might seem perverted to you.)	game/tl/english/event/bath_day.rpy	815	C "[what]" id C_5fda4996
C_4db817e0	C	(The liquid in the spawning pool recognises clothing as dead matter and starts cleaning you from it, by destroying it.)	game/tl/english/event/bath_day.rpy	821	C "[what]" id C_4db817e0
C_a369f77a	C	(You may, of course try to enter the pool in just your underwear, so you'll still have your s...)	game/tl/english/event/bath_day.rpy	827	C "[what]" id C_a369f77a
S_ef23727a	S	Enough! I won't try anything like that!	game/tl/english/event/bath_day.rpy	833	S "[what]" id S_ef23727a
C_efdb08b5	C	(Alright, but now I am intriqued. I could not find much information on this topic.)	game/tl/english/event/bath_day.rpy	839	C "[what]" id C_efdb08b5
S_c1a68a0c	S	Don't even think about it!	game/tl/english/event/bath_day.rpy	845	S "[what]" id S_c1a68a0c
C_273af671	C	(...)	game/tl/english/event/bath_day.rpy	851	C "[what]" id C_273af671
C_e3d34302	C	(Is this enough information or do you want to know more?)	game/tl/english/event/bath_day.rpy	857	C "[what]" id C_e3d34302
S_252831ab	S	This isn't all? There is more?	game/tl/english/event/bath_day.rpy	863	S "[what]" id S_252831ab
C_ee720847	C	(Yes, there is. But I think you aren't ready to learn that yet.)	game/tl/english/event/bath_day.rpy	869	C "[what]" id C_ee720847
S_03454d5c_4	S	...	game/tl/english/event/bath_day.rpy	875	S "[what]" id S_03454d5c_4
S_35c9c030	S	So what did you want to tell me then?	game/tl/english/event/bath_day.rpy	881	S "[what]" id S_35c9c030
C_2b0fc832	C	(I'll tell you when you are ready.)	game/tl/english/event/bath_day.rpy	887	C "[what]" id C_2b0fc832
S_03454d5c_5	S	...	game/tl/english/event/bath_day.rpy	893	S "[what]" id S_03454d5c_5
S_03454d5c_6	S	...	game/tl/english/event/bath_day.rpy	899	S "[what]" id S_03454d5c_6
S_03454d5c_7	S	...	game/tl/english/event/bath_day.rpy	905	S "[what]" id S_03454d5c_7
S_03454d5c_8	S	...	game/tl/english/event/bath_day.rpy	911	S "[what]" id S_03454d5c_8
S_31ccf93f	S	Well, it's not like I have a choice... This is the only way to clean myself...	game/tl/english/event/bath_day.rpy	917	S "[what]" id S_31ccf93f
narrator_d9e46957		Sarah continued lying in the pool.	game/tl/english/event/bath_day.rpy	923	"[what]" id narrator_d9e46957
narrator_3d35ec2b		Finally, after some time, she managed to relax.	game/tl/english/event/bath_day.rpy	929	"[what]" id narrator_3d35ec2b
S_7f6aa1f5	S	(This isn't that bad if you ignore the looks of it. And the smell isn't that weird actually.)	game/tl/english/event/bath_day.rpy	935	S "[what]" id S_7f6aa1f5
C_08697494	C	(I'm glad you realized there is nothing to be afraid of here.)	game/tl/english/event/bath_day.rpy	941	C "[what]" id C_08697494
S_c49980ed	S	I hope that is true. But it would be much better if it looked different...	game/tl/english/event/bath_day.rpy	947	S "[what]" id S_c49980ed
C_194b2cca	C	(I'm immediately contacting Mistress to make sure she gets you a human bath!)	game/tl/english/event/bath_day.rpy	953	C "[what]" id C_194b2cca
S_c5eed1f3	S	Screw you!	game/tl/english/event/bath_day.rpy	959	S "[what]" id S_c5eed1f3
narrator_0e375c9a		Sarah continued her relaxing pastime.	game/tl/english/event/bath_day.rpy	965	"[what]" id narrator_0e375c9a
narrator_5035d515		She didn't even notice how much time has passed.	game/tl/english/event/bath_day.rpy	971	"[what]" id narrator_5035d515
narrator_f831e378		Finally, she stood up and put her clothes back on.	game/tl/english/event/bath_day.rpy	977	"[what]" id narrator_f831e378
S_ac6702df	S	I feel different... As if... I don't know, lighter?	game/tl/english/event/bath_day.rpy	983	S "[what]" id S_ac6702df
C_b0aa5e64	C	(Congratulations, you are now clean!)	game/tl/english/event/bath_day.rpy	989	C "[what]" id C_b0aa5e64
S_1327a4f5	S	Time to call Stukov.	game/tl/english/event/bath_day.rpy	995	S "[what]" id S_1327a4f5
narrator_b02ebedc		Sarah presses the button and the door immediately opens, letting Stukov inside	game/tl/english/event/bath_day.rpy	1001	"[what]" id narrator_b02ebedc
narrator_766450e2		Stukov spent some time inspecting Sarah.	game/tl/english/event/bath_day.rpy	1007	"[what]" id narrator_766450e2
A_0f9446ba	A	Enjoyed your bath?	game/tl/english/event/bath_day.rpy	1013	A "[what]" id A_0f9446ba
S_0a149b78	S	Huh?	game/tl/english/event/bath_day.rpy	1019	S "[what]" id S_0a149b78
A_031626ba	A	That's a common thing to say to someone who just got out of bath on Earth.	game/tl/english/event/bath_day.rpy	1025	A "[what]" id A_031626ba
A_38d77075	A	Nevermind, let's get you to your room.	game/tl/english/event/bath_day.rpy	1031	A "[what]" id A_38d77075
narrator_de3f3f8b		Stukov lead Sarah to her cell.	game/tl/english/event/bath_day.rpy	1037	"[what]" id narrator_de3f3f8b
narrator_0cee2da3		Sarah feels cleaner and overall better after washing. Her stress level has decreased. Sarah's hygiene level is now normal.	game/tl/english/event/bath_day.rpy	1043	"[what]" id narrator_0cee2da3
narrator_70917b88		After a couple of turns, Sarah and Stukov enter the room with the pool.	game/tl/english/event/bath_day.rpy	1049	"[what]" id narrator_70917b88
A_c87e15e9	A	Here we are, have fun. And...	game/tl/english/event/bath_day.rpy	1055	A "[what]" id A_c87e15e9
S_96ecd7bc	S	No!	game/tl/english/event/bath_day.rpy	1061	S "[what]" id S_96ecd7bc
A_7b4908d7	A	No what?	game/tl/english/event/bath_day.rpy	1067	A "[what]" id A_7b4908d7
S_29b07833	S	Every time we come here you ask if you could scrub my back, so I'm warning you beforehand, no you can't!	game/tl/english/event/bath_day.rpy	1073	S "[what]" id S_29b07833
A_7cf821c2	A	Ahaha. Okay-okay, but I'm glad you remember my offer. If you change my mind, you know how to find me.	game/tl/english/event/bath_day.rpy	1079	A "[what]" id A_7cf821c2
A_20c97bb7	A	I'm going to leave now.	game/tl/english/event/bath_day.rpy	1085	A "[what]" id A_20c97bb7
narrator_a470f8fe		Stukov left the room, whistling some sort of bouncy tune.	game/tl/english/event/bath_day.rpy	1091	"[what]" id narrator_a470f8fe
S_1387ad6e	S	...	game/tl/english/event/bath_day.rpy	1097	S "[what]" id S_1387ad6e
S_d69cfda2	S	Finally I can wash and relax.	game/tl/english/event/bath_day.rpy	1103	S "[what]" id S_d69cfda2
narrator_a61cbbdb		Sarah slowly stripped naked and then quickly entered the 'bath'. She slowly lowered herself down into the liquid.	game/tl/english/event/bath_day.rpy	1109	"[what]" id narrator_a61cbbdb
S_2af6c9da	S	Aaaaah... so nice...	game/tl/english/event/bath_day.rpy	1115	S "[what]" id S_2af6c9da
narrator_bd969b77		The liquid immediately started cleaning Sarah's skin.	game/tl/english/event/bath_day.rpy	1121	"[what]" id narrator_bd969b77
S_020b65ea	S	Mmh... hee-hee, this feels really good.	game/tl/english/event/bath_day.rpy	1127	S "[what]" id S_020b65ea
C_4525e5cb	C	(I see you've taken a liking towards the spawning pool.)	game/tl/english/event/bath_day.rpy	1133	C "[what]" id C_4525e5cb
S_9077eab2	S	Well when you told me about it, I realised I had nothing to fear in here, right?	game/tl/english/event/bath_day.rpy	1139	S "[what]" id S_9077eab2
C_6b01f98c	C	(Definitely.)	game/tl/english/event/bath_day.rpy	1145	C "[what]" id C_6b01f98c
S_cf8022c0	S	And I've also noticed that after spending time here my mood significantly improves.	game/tl/english/event/bath_day.rpy	1151	S "[what]" id S_cf8022c0
S_9076f973	S	A good bath always takes stress away.	game/tl/english/event/bath_day.rpy	1157	S "[what]" id S_9076f973
S_0d2eff5c	S	By the way, Sai'mon, I have a question.	game/tl/english/event/bath_day.rpy	1163	S "[what]" id S_0d2eff5c
C_0997659e	C	(I'm listening.)	game/tl/english/event/bath_day.rpy	1169	C "[what]" id C_0997659e
S_e22d0c38	S	Is it possible to change the temperature of this liquid?	game/tl/english/event/bath_day.rpy	1175	S "[what]" id S_e22d0c38
C_ab927eb5	C	(What for? The current temperature is optimal for the pool to function.)	game/tl/english/event/bath_day.rpy	1181	C "[what]" id C_ab927eb5
S_905320c0	S	Well, do you know what a pleasure it is to lie in a hot bath... relax... sip some drinks...	game/tl/english/event/bath_day.rpy	1187	S "[what]" id S_905320c0
S_5ea9136c	S	Aaah... how would you know...	game/tl/english/event/bath_day.rpy	1193	S "[what]" id S_5ea9136c
C_b9cc9510	C	(I've often noticed such an aspect to your lives...)	game/tl/english/event/bath_day.rpy	1199	C "[what]" id C_b9cc9510
S_0bec9189	S	Been digging in my past...	game/tl/english/event/bath_day.rpy	1205	S "[what]" id S_0bec9189
C_eca73731	C	(Yes, and it was necessary, since the Swarm lacks information on terrans. Hence, I am forced to collect whatever I can.)	game/tl/english/event/bath_day.rpy	1211	C "[what]" id C_eca73731
S_06145aa5	S	Ah, I don't really care anyway, you might even learn to understand me in certain situations. So, what were you going to say?	game/tl/english/event/bath_day.rpy	1217	S "[what]" id S_06145aa5
C_011e52b2	C	(I wanted to mention that what you call relaxing usually has the completely opposite effect on your bodies. For example, your example consisting of a hot bath and alcohol.)	game/tl/english/event/bath_day.rpy	1223	C "[what]" id C_011e52b2
C_827172db	C	(Your bodies are structured in such a way that those things should not be combined, because despite bringing you positive emotions, it hurts your bodies which in long term has a negative effect on your emotions.)	game/tl/english/event/bath_day.rpy	1229	C "[what]" id C_827172db
S_2945b3f3	S	Sai'mon, you know... I'm regretting starting the conversation now... You're just like my boss before an op.	game/tl/english/event/bath_day.rpy	1235	S "[what]" id S_2945b3f3
C_6fcca6bc	C	(I've come to the conclusion that continuing this conversation will be useless. We are in the wrong place and this is a wrong time for such a conversation.)	game/tl/english/event/bath_day.rpy	1241	C "[what]" id C_6fcca6bc
S_6ea814b5	S	Now that was the right thing to do. You still haven't answered my question though...	game/tl/english/event/bath_day.rpy	1247	S "[what]" id S_6ea814b5
